All_NBA,Player,Pos,Age,Tm,G,GS,MP/G,FG,FGA,3P,3PA,2P,2PA,eFG%,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G,Year,MP_season,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
0.0,Steve Colter\coltest01,1,26,WSB,80,5,17.8,2.5,5.7,0.0,0.3,2.5,5.4,0.447,1.6,2.1,0.8,1.5,2.3,2.8,0.9,0.2,0.8,2.0,6.7,1989,1425,14.1,0.503,0.055,0.365,4.6,9.6,7.0,21.2,2.3,0.6,10.8,16.7,1.8,1.3,3.1,0.105,-0.1,0.0,-0.1,0.7
0.0,Dallas Comegys\comegda01,4,24,SAS,67,10,16.7,2.5,5.1,0.0,0.0,2.5,5.1,0.48700000000000004,1.6,2.4,1.7,1.8,3.5,0.4,0.6,0.9,1.3,2.4,6.5,1989,1119,11.9,0.532,0.006,0.47200000000000003,10.5,12.5,11.5,3.7,1.7,3.4,17.1,17.3,0.3,1.1,1.4,0.06,-3.0,0.1,-2.9,-0.3
0.0,Lester Conner\connele01,1,29,NJN,82,63,30.9,3.8,8.2,0.2,0.5,3.6,7.8,0.467,2.6,3.3,1.2,3.1,4.3,7.4,2.2,0.1,2.2,1.6,10.3,1989,2532,17.2,0.531,0.055,0.39799999999999996,4.3,11.6,7.8,33.2,3.4,0.1,18.6,15.8,3.6,2.6,6.2,0.11800000000000001,1.2,1.3,2.4,2.8
0.0,Darwin Cook\cookda01,2,30,TOT,66,4,17.3,3.3,7.2,0.1,0.6,3.2,6.6,0.46399999999999997,1.0,1.2,0.5,1.1,1.6,1.9,1.1,0.2,1.3,1.8,7.7,1989,1143,11.8,0.495,0.086,0.163,3.0,7.2,5.0,15.6,2.8,0.5,14.7,20.3,-0.1,1.1,0.9,0.039,-2.3,-1.1,-3.3,-0.4
0.0,Michael Cooper\coopemi01,2,32,LAL,80,13,24.3,2.7,6.2,1.0,2.6,1.7,3.6,0.512,1.0,1.2,0.4,2.0,2.4,3.9,0.9,0.4,1.2,2.3,7.3,1989,1943,11.9,0.5489999999999999,0.425,0.188,2.0,8.5,5.5,20.3,1.8,0.9,14.9,13.4,2.6,1.8,4.4,0.11,0.7,-0.3,0.4,1.2
0.0,Wayne Cooper\coopewa01,5,32,DEN,79,72,23.6,2.8,5.6,0.0,0.1,2.8,5.6,0.49700000000000005,1.0,1.3,2.7,5.2,7.8,1.0,0.5,2.7,0.9,3.8,6.6,1989,1864,13.6,0.53,0.009000000000000001,0.239,11.1,23.8,17.1,5.0,0.9,6.4,13.0,11.6,1.9,3.1,5.0,0.128,-2.4,3.5,1.0,1.4
0.0,Tyrone Corbin\corbity01,3,26,PHO,77,30,21.5,3.2,5.9,0.0,0.0,3.2,5.9,0.54,1.8,2.3,2.3,2.9,5.2,1.5,1.1,0.2,1.2,2.9,8.2,1989,1655,14.7,0.5920000000000001,0.004,0.39399999999999996,11.8,13.7,12.8,8.9,2.3,0.4,14.7,15.0,3.1,2.3,5.4,0.156,1.9,1.8,3.6,2.3
0.0,Dave Corzine\corzida01,5,32,CHI,81,7,18.3,2.5,5.4,0.0,0.1,2.5,5.3,0.46399999999999997,0.9,1.2,1.1,2.8,3.9,1.3,0.4,0.6,1.1,1.7,5.9,1989,1483,10.8,0.49700000000000005,0.018000000000000002,0.218,7.4,16.8,12.3,9.5,1.0,1.8,16.2,16.6,-0.1,1.5,1.4,0.046,-3.5,0.2,-3.3,-0.5
0.0,Winston Crite\critewi01,3,23,PHO,2,0,3.0,0.0,1.5,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.5,0.5,0.0,1989,6,-20.3,0.0,0.0,0.0,18.5,0.0,8.9,0.0,0.0,0.0,25.0,26.4,-0.1,0.0,-0.1,-0.57,-20.6,-6.5,-27.1,0.0
0.0,Pat Cummings\cummipa01,4,32,MIA,53,28,20.7,3.7,7.4,0.0,0.0,3.7,7.4,0.5,1.4,1.8,1.6,3.7,5.3,0.9,0.5,0.3,2.1,3.0,8.8,1989,1096,11.0,0.534,0.005,0.24600000000000002,8.3,21.0,14.4,6.8,1.3,1.0,20.3,20.3,-0.5,1.1,0.6,0.026000000000000002,-4.0,-0.7,-4.7,-0.7
3.0,Terry Cummings\cummite01,3,27,MIL,80,78,35.3,9.1,19.5,0.1,0.2,9.0,19.4,0.469,4.5,5.8,3.5,4.6,8.1,2.5,1.3,0.9,2.5,3.3,22.9,1989,2824,19.7,0.518,0.01,0.294,11.3,15.3,13.3,11.7,1.8,1.6,10.2,28.9,4.2,3.5,7.7,0.131,1.6,0.0,1.7,2.6
0.0,Earl Cureton\curetea01,5,31,CHH,82,41,25.0,2.8,5.7,0.0,0.0,2.8,5.7,0.501,0.8,1.5,2.3,3.7,6.0,1.6,0.6,0.7,1.4,2.8,6.5,1989,2047,10.1,0.512,0.002,0.265,9.7,17.1,13.2,8.4,1.2,1.8,18.0,12.7,0.3,1.2,1.5,0.035,-2.2,1.7,-0.5,0.8
0.0,Dell Curry\curryde01,2,24,CHH,48,0,16.9,5.3,10.9,0.4,1.1,4.9,9.7,0.51,0.8,1.0,0.5,1.6,2.2,1.0,0.9,0.1,0.9,1.4,11.9,1989,813,18.3,0.527,0.106,0.08800000000000001,3.4,11.2,7.1,11.2,2.5,0.3,7.5,29.5,0.4,0.5,0.9,0.052000000000000005,1.1,-2.5,-1.4,0.1
0.0,Quintin Dailey\dailequ01,2,28,LAC,69,51,25.0,6.5,14.0,0.0,0.1,6.5,13.8,0.465,3.1,4.1,1.0,2.0,3.0,2.2,1.3,0.1,1.8,2.2,16.1,1989,1722,16.3,0.511,0.009000000000000001,0.297,4.3,8.4,6.3,14.2,2.4,0.2,10.1,27.7,1.1,1.0,2.0,0.055999999999999994,-0.3,-2.4,-2.8,-0.3
